model,book_realm,n,roc_auc,pr_auc,brier
Activity/citation baseline,Life,47,0.5458333333333334,0.42725485845583105,0.25750216546398164
Activity/citation baseline,Machines,34,0.428030303030303,0.3200369717462782,0.31699226874176234
Activity/citation baseline,Nature,11,1.0,1.0,0.164612965428788
Baseline + book-wide PBSK,Life,47,0.5645833333333333,0.3899907249023421,0.24974642643429976
Baseline + book-wide PBSK,Machines,34,0.3787878787878788,0.2987207577466265,0.3425401156246058
Baseline + book-wide PBSK,Nature,11,1.0,1.0,0.1219476242175588
Baseline + core geometry,Life,47,0.49166666666666664,0.34037775746361265,0.2703639763985647
Baseline + core geometry,Machines,34,0.33333333333333337,0.2846282713450233,0.32673078770357517
Baseline + core geometry,Nature,11,1.0,1.0,0.1751817116580453
Baseline + legacy PBS,Life,47,0.45208333333333334,0.4054300995076383,0.32822370731763784
Baseline + legacy PBS,Machines,34,0.3977272727272727,0.30673834894036134,0.3202822565410693
Baseline + legacy PBS,Nature,11,1.0,1.0,0.12600701191563743
Book stages,Life,47,0.8,0.6013153712123963,0.20080441009779404
Book stages,Machines,34,0.4810606060606061,0.371105073833402,0.2831052874044773
Book stages,Nature,11,0.8888888888888888,0.5833333333333333,0.27861608892808126
Book-wide PBSK only,Life,47,0.48958333333333337,0.34138069702503115,0.2508377163572428
Book-wide PBSK only,Machines,34,0.48484848484848486,0.3457492686001457,0.2481180765698881
Book-wide PBSK only,Nature,11,0.2777777777777778,0.18253968253968253,0.263166959802553
Core geometry only,Life,47,0.38958333333333334,0.40674658810254505,0.26335083749192484
Core geometry only,Machines,34,0.28787878787878785,0.27007976605364403,0.2665652101385902
Core geometry only,Nature,11,0.9444444444444444,0.8333333333333333,0.24219253957255643
Full theory logistic,Life,47,0.6354166666666666,0.5373039599406294,0.2269270208932015
Full theory logistic,Machines,34,0.44318181818181823,0.3258518600850653,0.3622447358135912
Full theory logistic,Nature,11,0.6666666666666667,0.325,0.18536662420964037
HistGradientBoosting full,Life,47,0.4145833333333333,0.33320589020435654,0.31403739155359006
HistGradientBoosting full,Machines,34,0.5416666666666666,0.42835576701550443,0.30367534014057124
HistGradientBoosting full,Nature,11,1.0,1.0,0.08390023306458368
Legacy PBS only,Life,47,0.3520833333333333,0.26049386361405735,0.2545391416105845
Legacy PBS only,Machines,34,0.43939393939393934,0.3198590165778654,0.2503910716252668
Legacy PBS only,Nature,11,0.3888888888888889,0.20833333333333331,0.2749677249679235
Random forest full,Life,47,0.56875,0.4208246451611513,0.23767847157808952
Random forest full,Machines,34,0.7045454545454546,0.6083780051981806,0.2017993067595075
Random forest full,Nature,11,1.0,1.0,0.129353375864545
