figure,status,message
figure_01_benchmark_timeline,OK,
figure_02_bookwide_pbsk_trajectory,OK,
figure_03_book_stage_profile_tminus1,OK,
figure_04_bookwide_pbsk_distribution,OK,
figure_05_sequence_architecture,OK,
figure_06_predictive_performance,OK,
figure_07_temporal_prediction,OK,
figure_08_bookwide_ablation,OK,
figure_09_transformation,OK,
figure_10_creative_universe_realms,OK,
figure_11_pubmed_replication,OK,
figure_12_retrieval_qc,OK,
figure_13_power_validation_core_trajectory,SKIPPED,
figure_14_power_validation_performance,OK,
