model,n,n_groups,n_features,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,brier,brier_ci_low,brier_ci_high,balanced_accuracy_at_0_5
Activity/citation baseline,92,12,7,0.5588396278051451,0.38402546458625525,0.7272315293246233,0.4009379127795321,0.2639176677750982,0.6485334474278341,0.26838132101895346,0.2169558110244969,0.32441885244893526,0.5801860974274767
Legacy PBS only,92,12,1,0.3951833607006021,0.3144875289627913,0.4751083267318619,0.2593168007268953,0.22066056204323684,0.3184294757526427,0.2554487072348228,0.24883149627289095,0.263425768290152,0.44362342638204705
Book-wide PBSK only,92,12,1,0.4696223316912972,0.339099087893864,0.5909686487516675,0.29831993392161227,0.2364776606066311,0.4428898398922626,0.25130678076081187,0.24653249832686208,0.2563032630633201,0.5191570881226054
Core geometry only,92,12,1,0.37383689107827045,0.1977043565270936,0.56360513739546,0.34166059881573924,0.23391713552930235,0.49707568601806085,0.2620089613275071,0.24846372351024787,0.277731567168294,0.3694581280788177
Book stages,92,12,6,0.6365626710454296,0.4844997956918423,0.7913663978258962,0.4453910187351124,0.3197960060673017,0.6563360076011296,0.24052352200605914,0.20239766608574644,0.2847383181967062,0.6543513957307061
Baseline + legacy PBS,92,12,14,0.4761904761904762,0.282844026453164,0.6799224565756823,0.37343694309513314,0.23668883709462893,0.5916453434367263,0.30111074018910156,0.2255666793553321,0.3738780766073329,0.4846743295019157
Baseline + book-wide PBSK,92,12,8,0.5632183908045977,0.39760634328358213,0.743948704703612,0.38516757727983947,0.2557223981014708,0.6268060106428841,0.2687594547830634,0.20101682701493406,0.3340509251246255,0.5708812260536398
Baseline + core geometry,92,12,8,0.49042145593869724,0.3155743354903803,0.6517935725734211,0.3523221839243788,0.2332912611840338,0.5671860515164271,0.2798147010966586,0.22849076077791178,0.3326588063108341,0.5046524356869184
Full theory logistic,92,12,36,0.5845648604269293,0.3975451899509804,0.7470677989505662,0.40445184482286584,0.30343971368167555,0.5850148925977332,0.27196656376031103,0.1972439392015685,0.3494228154035096,0.5374931581828133
Random forest full,92,12,36,0.6568144499178982,0.502844097019287,0.8133697660098522,0.46975078248582863,0.3443078565672962,0.6758179853080183,0.2114668666141681,0.1766969035347357,0.2415364268924971,0.6434044882320744
HistGradientBoosting full,92,12,36,0.5232621784345923,0.3355957298778101,0.6850826747317762,0.36437926589489983,0.2675195710764532,0.5322255855415596,0.2826915383859628,0.21400950368584085,0.3424853679531133,0.5240831964969896
