source,region_id,offset,cutoff_year,max_publication_year,possibility_pressure,question_pressure,anomaly_pressure,doubt_tension,pattern_formation,cross_domain_similarity,analogical_transfer,bridge_formation,collision_index,surprise_geometry,insight_coherence,leap_nonlinearity,originality_risk,density_gap,boundary_activity,complementarity,momentum,recombination,convergence,sequence_order_score,stage_possibility,stage_question,stage_pattern,stage_imagination,stage_insight,stage_discovery_readiness,core_geometry_score,n_docs,mean_citations,topic_entropy,activity_recent,activity_prior,question_rate,years_covered,quality_eligible,skg,pbs,bookwide_pbsk,match_case_id,label,target,domain,book_realm,landmark_year,cohort
PubMed,ips,5,2001,2000.0,0.45,0.999329299739067,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.5,7.663094323935528e-05,9.997763832456303e-05,0.0034657242157757344,1.0000000000000004e-06,1.0000000000000004e-06,0.00693361274350635,0.06299605249474365,1,0.0,1.0,1,0,1.0,1,0,1.0000000000000008e-06,0.3,7.54240944314225e-05,ips,Induced pluripotent stem cells,1,Life Sciences,Life,2006,landmark
PubMed,ips,3,2003,2003.0,0.44761131316750224,0.999329299739067,0.0,0.0,0.0,0.0,0.0,1.0,0.4952226263350044,0.0,0.0,0.0,0.0,0.0,0.0,0.9904452526700088,0.5,0.0,0.0,0.5,7.649511200445919e-05,9.997763832456303e-05,0.0034524404057638854,1.0000000000000004e-06,1.0000000000000004e-06,0.006299605249474366,0.06279477294719234,2,0.0,0.9904452526700088,1,1,1.0,2,0,9.96804886344774e-07,0.2730890505340018,7.415879782250856e-05,ips,Induced pluripotent stem cells,1,Life Sciences,Life,2006,landmark
PubMed,ips,1,2005,2005.0,0.40423708384531415,0.9966823978396512,0.0,0.0,0.0,0.0,0.0,1.0,0.48847416769062824,0.0,0.0,0.8,0.0,0.0,0.0,0.9769483353812565,0.7142857142857143,0.0,0.0,0.5666666666666667,7.393987591634103e-05,9.988929074115228e-05,0.0034335441788513697,1.0000000000000004e-06,1.0000000000000004e-06,0.686693926056671,0.06517130579285041,5,0.0,0.9769483353812565,4,1,0.8,4,0,9.922563017138758e-07,0.3025325242191084,0.00016099680176633158,ips,Induced pluripotent stem cells,1,Life Sciences,Life,2006,landmark
PubMed,mrna,5,2015,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,1.0000000000000013e-09,0.0,1.0000000000000004e-06,mrna,mRNA vaccine technology,1,Life Sciences,Life,2020,landmark
PubMed,mrna,3,2017,2017.0,0.4614068474394883,0.9907235153748416,0.30553627085085594,0.8108713956694287,0.0,0.7444224483003222,0.03672648955900261,0.9867109634551495,0.534726968749883,0.0,0.0,0.0,0.0,0.2555775516996778,0.19933554817275748,0.863234099770431,0.9966996699669968,0.0,0.0,0.5,0.28645989728941834,0.6261173548668565,0.027841075606267866,9.063024492274351e-05,1.0000000000000004e-06,0.007928264057548822,0.4552840968510845,301,0.0,0.863234099770431,301,0,0.6710963455149501,2,0,0.35297613982661535,0.41313439042362277,0.003912696308057838,mrna,mRNA vaccine technology,1,Life Sciences,Life,2020,landmark
PubMed,mrna,1,2019,2019.0,0.4511095155909556,0.990433915458988,0.22638456855404696,0.7782651555763759,0.0,0.7607532281256804,0.03693417976139182,0.9709897610921502,0.5046477868948922,0.0,0.0,0.6453098024170345,0.0,0.23924677187431964,0.20136518771331058,0.8387758581902867,0.7806122448979592,0.0,0.0,0.4666666666666667,0.2790642187138373,0.5588131748632702,0.0273058362073255,9.128819105683566e-05,1.0000000000000004e-06,0.617168096094106,0.43234366100611693,586,0.0,0.8387758581902867,458,128,0.6672354948805461,4,0,0.34315642389770223,0.37296940029027725,0.007882682910512934,mrna,mRNA vaccine technology,1,Life Sciences,Life,2020,landmark
PubMed,alphafold2,5,2016,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,1.0000000000000013e-09,0.0,1.0000000000000004e-06,alphafold2,AlphaFold2 protein structure prediction,1,Life Sciences,Life,2021,landmark
PubMed,alphafold2,3,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,1.0000000000000013e-09,0.0,1.0000000000000004e-06,alphafold2,AlphaFold2 protein structure prediction,1,Life Sciences,Life,2021,landmark
PubMed,alphafold2,1,2020,2020.0,0.39121927781734644,0.9950547536867305,0.0,0.0,0.0,0.0,0.0,0.75,0.36182891672601963,0.0,0.0,0.0,0.0,0.0,0.0,0.9648771112693857,0.8333333333333333,0.0,0.0,0.5,7.313749515487929e-05,9.983488597987595e-05,0.0030451403074142694,1.0000000000000004e-06,1.0000000000000004e-06,0.00746900791092861,0.056557615632249814,4,0.0,0.9648771112693857,4,0,0.75,2,0,9.881525629679556e-07,0.31797542225387715,7.413934974884396e-05,alphafold2,AlphaFold2 protein structure prediction,1,Life Sciences,Life,2021,landmark
PubMed,singlecell,5,2004,2004.0,0.4409257855973835,0.991667052669175,0.10033242410136656,0.5632522079399502,0.5723213478086211,0.8179190428040946,0.04089595214020473,1.0,0.5141246149008697,0.34651523580389426,0.4911579314211364,0.7489626556016596,0.34651523580389426,0.18208095719590545,0.3422818791946309,0.8698636278186219,0.6622516556291391,0.0,0.5851455857341159,0.43333333333333335,0.30176669814198787,0.3826808214055836,0.4017611770098334,0.4613724554395943,0.006599256845230056,0.5990114234092856,0.43850501617598797,149,0.0,0.8698636278186219,99,50,0.6845637583892618,6,1,0.3784715182891304,0.46595487904631994,0.20952843179951042,singlecell,Single-cell RNA sequencing,1,Life Sciences,Life,2009,landmark
