source,cohort,region_id,match_case_id,target,book_realm,window,start_year,end_year,records,status,message
OpenAlex,landmark,crispr,crispr,1,Life,pre,2002,2011,412,OK,
OpenAlex,landmark,crispr,crispr,1,Life,post,2013,2022,600,OK,
OpenAlex,landmark,ips,ips,1,Life,pre,1996,2005,455,OK,
OpenAlex,landmark,ips,ips,1,Life,post,2007,2016,600,OK,
OpenAlex,landmark,mrna,mrna,1,Life,pre,2010,2019,600,OK,
OpenAlex,landmark,mrna,mrna,1,Life,post,2021,2026,600,OK,
OpenAlex,landmark,alphafold2,alphafold2,1,Life,pre,2011,2020,209,OK,
OpenAlex,landmark,alphafold2,alphafold2,1,Life,post,2022,2026,600,OK,
OpenAlex,landmark,singlecell,singlecell,1,Life,pre,1999,2008,600,OK,
OpenAlex,landmark,singlecell,singlecell,1,Life,post,2010,2019,600,OK,
OpenAlex,landmark,rnai,rnai,1,Life,pre,1988,1997,136,OK,
OpenAlex,landmark,rnai,rnai,1,Life,post,1999,2008,600,OK,
OpenAlex,landmark,graphene,graphene,1,Nature,pre,1994,2003,125,OK,
OpenAlex,landmark,graphene,graphene,1,Nature,post,2005,2014,600,OK,
OpenAlex,landmark,transformer,transformer,1,Machines,pre,2007,2016,563,OK,
OpenAlex,landmark,transformer,transformer,1,Machines,post,2018,2026,600,OK,
OpenAlex,landmark,resnet,resnet,1,Machines,pre,2005,2014,600,OK,
OpenAlex,landmark,resnet,resnet,1,Machines,post,2016,2025,600,OK,
OpenAlex,landmark,diffusion,diffusion,1,Machines,pre,2010,2019,350,OK,
OpenAlex,landmark,diffusion,diffusion,1,Machines,post,2021,2026,600,OK,
OpenAlex,landmark,rag,rag,1,Machines,pre,2010,2019,600,OK,
OpenAlex,landmark,rag,rag,1,Machines,post,2021,2026,600,OK,
OpenAlex,landmark,qec,qec,1,Nature,pre,1985,1994,2,OK,
OpenAlex,landmark,qec,qec,1,Nature,post,1996,2005,335,OK,
OpenAlex,landmark,crispr_c1,crispr,0,Life,pre,2002,2011,555,OK,
OpenAlex,landmark,crispr_c1,crispr,0,Life,post,2013,2022,600,OK,
OpenAlex,landmark,crispr_c2,crispr,0,Life,pre,2002,2011,133,OK,
OpenAlex,landmark,crispr_c2,crispr,0,Life,post,2013,2022,596,OK,
OpenAlex,landmark,ips_c1,ips,0,Life,pre,1996,2005,586,OK,
OpenAlex,landmark,ips_c1,ips,0,Life,post,2007,2016,600,OK,
OpenAlex,landmark,ips_c2,ips,0,Life,pre,1996,2005,585,OK,
OpenAlex,landmark,ips_c2,ips,0,Life,post,2007,2016,600,OK,
OpenAlex,landmark,mrna_c1,mrna,0,Life,pre,2010,2019,600,OK,
OpenAlex,landmark,mrna_c1,mrna,0,Life,post,2021,2026,600,OK,
OpenAlex,landmark,mrna_c2,mrna,0,Life,pre,2010,2019,600,OK,
OpenAlex,landmark,mrna_c2,mrna,0,Life,post,2021,2026,600,OK,
OpenAlex,landmark,alphafold2_c1,alphafold2,0,Life,pre,2011,2020,600,OK,
OpenAlex,landmark,alphafold2_c1,alphafold2,0,Life,post,2022,2026,600,OK,
OpenAlex,landmark,alphafold2_c2,alphafold2,0,Life,pre,2011,2020,600,OK,
OpenAlex,landmark,alphafold2_c2,alphafold2,0,Life,post,2022,2026,600,OK,
OpenAlex,landmark,singlecell_c1,singlecell,0,Life,pre,1999,2008,275,OK,
OpenAlex,landmark,singlecell_c1,singlecell,0,Life,post,2010,2019,600,OK,
OpenAlex,landmark,singlecell_c2,singlecell,0,Life,pre,1999,2008,600,OK,
OpenAlex,landmark,singlecell_c2,singlecell,0,Life,post,2010,2019,600,OK,
OpenAlex,landmark,rnai_c1,rnai,0,Life,pre,1988,1997,280,OK,
OpenAlex,landmark,rnai_c1,rnai,0,Life,post,1999,2008,600,OK,
