source,region_id,offset,cutoff_year,max_publication_year,temporal_lock_pass
OpenAlex,crispr,5,2007,2007.0,True
OpenAlex,crispr,3,2009,2009.0,True
OpenAlex,crispr,1,2011,2011.0,True
OpenAlex,ips,5,2001,2001.0,True
OpenAlex,ips,3,2003,2003.0,True
OpenAlex,ips,1,2005,2005.0,True
OpenAlex,mrna,5,2015,2015.0,True
OpenAlex,mrna,3,2017,2017.0,True
OpenAlex,mrna,1,2019,2019.0,True
OpenAlex,alphafold2,5,2016,2016.0,True
OpenAlex,alphafold2,3,2018,2018.0,True
OpenAlex,alphafold2,1,2020,2020.0,True
OpenAlex,singlecell,5,2004,2004.0,True
OpenAlex,singlecell,3,2006,2006.0,True
OpenAlex,singlecell,1,2008,2008.0,True
OpenAlex,rnai,5,1993,1993.0,True
OpenAlex,rnai,3,1995,1995.0,True
OpenAlex,rnai,1,1997,1997.0,True
OpenAlex,graphene,5,1999,1999.0,True
OpenAlex,graphene,3,2001,2001.0,True
OpenAlex,graphene,1,2003,2003.0,True
OpenAlex,transformer,5,2012,2012.0,True
OpenAlex,transformer,3,2014,2014.0,True
OpenAlex,transformer,1,2016,2016.0,True
OpenAlex,resnet,5,2010,2010.0,True
OpenAlex,resnet,3,2012,2012.0,True
OpenAlex,resnet,1,2014,2014.0,True
OpenAlex,diffusion,5,2015,2015.0,True
OpenAlex,diffusion,3,2017,2017.0,True
OpenAlex,diffusion,1,2019,2019.0,True
OpenAlex,rag,5,2015,2015.0,True
OpenAlex,rag,3,2017,2017.0,True
OpenAlex,rag,1,2019,2019.0,True
OpenAlex,qec,5,1990,1988.0,True
OpenAlex,qec,3,1992,1992.0,True
OpenAlex,qec,1,1994,1992.0,True
OpenAlex,crispr_c1,5,2007,2007.0,True
OpenAlex,crispr_c1,3,2009,2009.0,True
OpenAlex,crispr_c1,1,2011,2011.0,True
OpenAlex,crispr_c2,5,2007,2007.0,True
OpenAlex,crispr_c2,3,2009,2009.0,True
OpenAlex,crispr_c2,1,2011,2011.0,True
OpenAlex,ips_c1,5,2001,2001.0,True
OpenAlex,ips_c1,3,2003,2003.0,True
OpenAlex,ips_c1,1,2005,2005.0,True
OpenAlex,ips_c2,5,2001,2001.0,True
OpenAlex,ips_c2,3,2003,2003.0,True
OpenAlex,ips_c2,1,2005,2005.0,True
OpenAlex,mrna_c1,5,2015,2015.0,True
OpenAlex,mrna_c1,3,2017,2017.0,True
OpenAlex,mrna_c1,1,2019,2019.0,True
OpenAlex,mrna_c2,5,2015,2015.0,True
OpenAlex,mrna_c2,3,2017,2017.0,True
OpenAlex,mrna_c2,1,2019,2019.0,True
OpenAlex,alphafold2_c1,5,2016,2016.0,True
OpenAlex,alphafold2_c1,3,2018,2018.0,True
OpenAlex,alphafold2_c1,1,2020,2020.0,True
OpenAlex,alphafold2_c2,5,2016,2016.0,True
OpenAlex,alphafold2_c2,3,2018,2018.0,True
OpenAlex,alphafold2_c2,1,2020,2020.0,True
OpenAlex,singlecell_c1,5,2004,2004.0,True
OpenAlex,singlecell_c1,3,2006,2006.0,True
OpenAlex,singlecell_c1,1,2008,2008.0,True
OpenAlex,singlecell_c2,5,2004,2004.0,True
OpenAlex,singlecell_c2,3,2006,2006.0,True
OpenAlex,singlecell_c2,1,2008,2008.0,True
OpenAlex,rnai_c1,5,1993,1993.0,True
OpenAlex,rnai_c1,3,1995,1995.0,True
OpenAlex,rnai_c1,1,1997,1997.0,True
OpenAlex,rnai_c2,5,1993,1993.0,True
OpenAlex,rnai_c2,3,1995,1995.0,True
OpenAlex,rnai_c2,1,1997,1997.0,True
OpenAlex,graphene_c1,5,1999,1999.0,True
OpenAlex,graphene_c1,3,2001,2001.0,True
OpenAlex,graphene_c1,1,2003,2003.0,True
OpenAlex,graphene_c2,5,1999,1999.0,True
OpenAlex,graphene_c2,3,2001,2001.0,True
OpenAlex,graphene_c2,1,2003,2003.0,True
OpenAlex,transformer_c1,5,2012,2012.0,True
OpenAlex,transformer_c1,3,2014,2014.0,True
OpenAlex,transformer_c1,1,2016,2016.0,True
OpenAlex,transformer_c2,5,2012,2012.0,True
OpenAlex,transformer_c2,3,2014,2014.0,True
OpenAlex,transformer_c2,1,2016,2016.0,True
OpenAlex,resnet_c1,5,2010,2010.0,True
OpenAlex,resnet_c1,3,2012,2012.0,True
OpenAlex,resnet_c1,1,2014,2014.0,True
OpenAlex,resnet_c2,5,2010,2010.0,True
OpenAlex,resnet_c2,3,2012,2012.0,True
OpenAlex,resnet_c2,1,2014,2014.0,True
OpenAlex,diffusion_c1,5,2015,2015.0,True
OpenAlex,diffusion_c1,3,2017,2017.0,True
OpenAlex,diffusion_c1,1,2019,2019.0,True
OpenAlex,diffusion_c2,5,2015,2015.0,True
OpenAlex,diffusion_c2,3,2017,2017.0,True
OpenAlex,diffusion_c2,1,2019,2019.0,True
OpenAlex,rag_c1,5,2015,2015.0,True
OpenAlex,rag_c1,3,2017,2017.0,True
OpenAlex,rag_c1,1,2019,2019.0,True
OpenAlex,rag_c2,5,2015,2015.0,True
OpenAlex,rag_c2,3,2017,2017.0,True
OpenAlex,rag_c2,1,2019,2019.0,True
OpenAlex,qec_c1,5,1990,1990.0,True
OpenAlex,qec_c1,3,1992,1992.0,True
OpenAlex,qec_c1,1,1994,1994.0,True
OpenAlex,qec_c2,5,1990,1990.0,True
OpenAlex,qec_c2,3,1992,1992.0,True
OpenAlex,qec_c2,1,1994,1994.0,True
PubMed,ips,5,2001,2000.0,True
PubMed,ips,3,2003,2003.0,True
PubMed,ips,1,2005,2005.0,True
PubMed,mrna,5,2015,,True
PubMed,mrna,3,2017,2017.0,True
PubMed,mrna,1,2019,2019.0,True
PubMed,alphafold2,5,2016,,True
PubMed,alphafold2,3,2018,,True
PubMed,alphafold2,1,2020,2020.0,True
PubMed,singlecell,5,2004,2004.0,True
PubMed,singlecell,3,2006,2006.0,True
PubMed,singlecell,1,2008,2008.0,True
PubMed,crispr_c1,5,2007,2007.0,True
PubMed,crispr_c1,3,2009,2009.0,True
PubMed,crispr_c1,1,2011,2011.0,True
PubMed,crispr_c2,5,2007,2007.0,True
PubMed,crispr_c2,3,2009,2009.0,True
PubMed,crispr_c2,1,2011,2011.0,True
PubMed,ips_c1,5,2001,2001.0,True
PubMed,ips_c1,3,2003,2003.0,True
PubMed,ips_c1,1,2005,2005.0,True
PubMed,ips_c2,5,2001,2001.0,True
PubMed,ips_c2,3,2003,2003.0,True
PubMed,ips_c2,1,2005,2005.0,True
PubMed,mrna_c1,5,2015,2015.0,True
PubMed,mrna_c1,3,2017,2017.0,True
PubMed,mrna_c1,1,2019,2019.0,True
PubMed,mrna_c2,5,2015,2015.0,True
PubMed,mrna_c2,3,2017,2017.0,True
PubMed,mrna_c2,1,2019,2019.0,True
PubMed,alphafold2_c1,5,2016,2016.0,True
PubMed,alphafold2_c1,3,2018,2018.0,True
PubMed,alphafold2_c1,1,2020,2020.0,True
PubMed,alphafold2_c2,5,2016,,True
PubMed,alphafold2_c2,3,2018,2018.0,True
PubMed,alphafold2_c2,1,2020,2020.0,True
PubMed,singlecell_c1,5,2004,2004.0,True
PubMed,singlecell_c1,3,2006,2006.0,True
PubMed,singlecell_c1,1,2008,2008.0,True
PubMed,singlecell_c2,5,2004,,True
PubMed,singlecell_c2,3,2006,,True
PubMed,singlecell_c2,1,2008,2008.0,True
PubMed,rnai_c1,5,1993,,True
PubMed,rnai_c1,3,1995,1994.0,True
PubMed,rnai_c1,1,1997,1997.0,True
PubMed,rnai_c2,5,1993,1992.0,True
PubMed,rnai_c2,3,1995,1992.0,True
PubMed,rnai_c2,1,1997,1997.0,True
OpenAlex,PV_0000_P,5,2014,2014.0,True
OpenAlex,PV_0000_P,3,2016,2016.0,True
OpenAlex,PV_0000_P,1,2018,2018.0,True
OpenAlex,PV_0000_C1,5,2014,2014.0,True
OpenAlex,PV_0000_C1,3,2016,2016.0,True
OpenAlex,PV_0000_C1,1,2018,2018.0,True
OpenAlex,PV_0000_C2,5,2014,2014.0,True
OpenAlex,PV_0000_C2,3,2016,2016.0,True
OpenAlex,PV_0000_C2,1,2018,2018.0,True
OpenAlex,PV_0001_P,5,2014,2014.0,True
OpenAlex,PV_0001_P,3,2016,2016.0,True
OpenAlex,PV_0001_P,1,2018,2018.0,True
OpenAlex,PV_0001_C1,5,2014,2014.0,True
OpenAlex,PV_0001_C1,3,2016,2016.0,True
OpenAlex,PV_0001_C1,1,2018,2018.0,True
OpenAlex,PV_0001_C2,5,2014,2014.0,True
OpenAlex,PV_0001_C2,3,2016,2016.0,True
OpenAlex,PV_0001_C2,1,2018,2018.0,True
OpenAlex,PV_0002_P,5,2014,2014.0,True
OpenAlex,PV_0002_P,3,2016,2016.0,True
OpenAlex,PV_0002_P,1,2018,2018.0,True
OpenAlex,PV_0002_C1,5,2014,2014.0,True
OpenAlex,PV_0002_C1,3,2016,2016.0,True
OpenAlex,PV_0002_C1,1,2018,2018.0,True
OpenAlex,PV_0002_C2,5,2014,2014.0,True
OpenAlex,PV_0002_C2,3,2016,2016.0,True
OpenAlex,PV_0002_C2,1,2018,2018.0,True
OpenAlex,PV_0003_P,5,2014,2014.0,True
OpenAlex,PV_0003_P,3,2016,2016.0,True
OpenAlex,PV_0003_P,1,2018,2018.0,True
OpenAlex,PV_0003_C1,5,2014,2014.0,True
OpenAlex,PV_0003_C1,3,2016,2016.0,True
OpenAlex,PV_0003_C1,1,2018,2018.0,True
OpenAlex,PV_0003_C2,5,2014,2014.0,True
OpenAlex,PV_0003_C2,3,2016,2016.0,True
OpenAlex,PV_0003_C2,1,2018,2018.0,True
OpenAlex,PV_0004_P,5,2014,2014.0,True
OpenAlex,PV_0004_P,3,2016,2016.0,True
OpenAlex,PV_0004_P,1,2018,2018.0,True
OpenAlex,PV_0004_C1,5,2014,2014.0,True
OpenAlex,PV_0004_C1,3,2016,2016.0,True
OpenAlex,PV_0004_C1,1,2018,2018.0,True
OpenAlex,PV_0004_C2,5,2014,2014.0,True
OpenAlex,PV_0004_C2,3,2016,2016.0,True
OpenAlex,PV_0004_C2,1,2018,2018.0,True
OpenAlex,PV_0005_P,5,2014,2014.0,True
OpenAlex,PV_0005_P,3,2016,2016.0,True
OpenAlex,PV_0005_P,1,2018,2018.0,True
OpenAlex,PV_0005_C1,5,2014,2014.0,True
OpenAlex,PV_0005_C1,3,2016,2016.0,True
OpenAlex,PV_0005_C1,1,2018,2018.0,True
OpenAlex,PV_0005_C2,5,2014,2014.0,True
OpenAlex,PV_0005_C2,3,2016,2016.0,True
OpenAlex,PV_0005_C2,1,2018,2018.0,True
OpenAlex,PV_0006_P,5,2014,2014.0,True
OpenAlex,PV_0006_P,3,2016,2016.0,True
OpenAlex,PV_0006_P,1,2018,2018.0,True
OpenAlex,PV_0006_C1,5,2014,2014.0,True
OpenAlex,PV_0006_C1,3,2016,2016.0,True
OpenAlex,PV_0006_C1,1,2018,2018.0,True
OpenAlex,PV_0006_C2,5,2014,2014.0,True
OpenAlex,PV_0006_C2,3,2016,2016.0,True
OpenAlex,PV_0006_C2,1,2018,2018.0,True
OpenAlex,PV_0007_P,5,2014,2014.0,True
OpenAlex,PV_0007_P,3,2016,2016.0,True
OpenAlex,PV_0007_P,1,2018,2018.0,True
OpenAlex,PV_0007_C1,5,2014,2014.0,True
OpenAlex,PV_0007_C1,3,2016,2016.0,True
OpenAlex,PV_0007_C1,1,2018,2018.0,True
OpenAlex,PV_0007_C2,5,2014,2014.0,True
OpenAlex,PV_0007_C2,3,2016,2016.0,True
OpenAlex,PV_0007_C2,1,2018,2018.0,True
OpenAlex,PV_0008_P,5,2014,2014.0,True
OpenAlex,PV_0008_P,3,2016,2016.0,True
OpenAlex,PV_0008_P,1,2018,2018.0,True
OpenAlex,PV_0008_C1,5,2014,2014.0,True
OpenAlex,PV_0008_C1,3,2016,2016.0,True
OpenAlex,PV_0008_C1,1,2018,2018.0,True
OpenAlex,PV_0008_C2,5,2014,2014.0,True
OpenAlex,PV_0008_C2,3,2016,2016.0,True
OpenAlex,PV_0008_C2,1,2018,2018.0,True
OpenAlex,PV_0009_P,5,2014,2014.0,True
OpenAlex,PV_0009_P,3,2016,2016.0,True
OpenAlex,PV_0009_P,1,2018,2018.0,True
OpenAlex,PV_0009_C1,5,2014,2014.0,True
OpenAlex,PV_0009_C1,3,2016,2016.0,True
OpenAlex,PV_0009_C1,1,2018,2018.0,True
OpenAlex,PV_0009_C2,5,2014,2014.0,True
OpenAlex,PV_0009_C2,3,2016,2016.0,True
OpenAlex,PV_0009_C2,1,2018,2018.0,True
OpenAlex,PV_0010_P,5,2014,2014.0,True
OpenAlex,PV_0010_P,3,2016,2016.0,True
OpenAlex,PV_0010_P,1,2018,2018.0,True
OpenAlex,PV_0010_C1,5,2014,2014.0,True
OpenAlex,PV_0010_C1,3,2016,2016.0,True
OpenAlex,PV_0010_C1,1,2018,2018.0,True
OpenAlex,PV_0010_C2,5,2014,2014.0,True
OpenAlex,PV_0010_C2,3,2016,2016.0,True
OpenAlex,PV_0010_C2,1,2018,2018.0,True
OpenAlex,PV_0011_P,5,2014,2014.0,True
OpenAlex,PV_0011_P,3,2016,2016.0,True
OpenAlex,PV_0011_P,1,2018,2018.0,True
OpenAlex,PV_0011_C1,5,2014,2014.0,True
OpenAlex,PV_0011_C1,3,2016,2016.0,True
OpenAlex,PV_0011_C1,1,2018,2018.0,True
OpenAlex,PV_0011_C2,5,2014,2014.0,True
OpenAlex,PV_0011_C2,3,2016,2016.0,True
OpenAlex,PV_0011_C2,1,2018,2018.0,True
OpenAlex,PV_0012_P,5,2014,2014.0,True
OpenAlex,PV_0012_P,3,2016,2016.0,True
OpenAlex,PV_0012_P,1,2018,2018.0,True
OpenAlex,PV_0012_C1,5,2014,2014.0,True
