source,cohort,region_id,match_case_id,label,target,domain,book_realm,landmark_year,post_docs,post_growth,topic_diffusion,normalization_index,post_adoption,transformation
OpenAlex,landmark,crispr,crispr,CRISPR-Cas genome editing,1,Life Sciences,Life,2012,600,0.5927021696252465,0.44539259400588116,0.8637085913658149,0.6152547905426714,0.6292645363849035
OpenAlex,landmark,ips,ips,Induced pluripotent stem cells,1,Life Sciences,Life,2006,600,0.5685903500473036,0.4637715068574803,0.768980608993392,0.9775753647302573,0.6947294576571084
OpenAlex,landmark,mrna,mrna,mRNA vaccine technology,1,Life Sciences,Life,2020,600,0.5,0.4623987065323683,0.425557483188341,0.3736568589758522,0.4404032621741404
OpenAlex,landmark,alphafold2,alphafold2,AlphaFold2 protein structure prediction,1,Life Sciences,Life,2021,600,0.7410604192355117,0.5271003631268986,0.568936142958188,0.24250444529035856,0.5199003426527392
OpenAlex,landmark,singlecell,singlecell,Single-cell RNA sequencing,1,Life Sciences,Life,2009,600,0.5,0.4887857590711287,0.6066693561082115,0.9058744486503012,0.6253323909574103
OpenAlex,landmark,rnai,rnai,RNA interference,1,Life Sciences,Life,1998,600,0.8143631436314362,0.4362920824897204,0.6465529859919191,0.9790078011045642,0.7190540033044099
OpenAlex,landmark,graphene,graphene,Graphene isolation,1,Physical Sciences,Nature,2004,600,0.8266850068775791,0.42505252759420326,0.6871151515389216,0.9448455278662835,0.7209245534692468
OpenAlex,landmark,transformer,transformer,Transformer architecture,1,Computer Science,Machines,2017,600,0.5158798283261802,0.4679442885055321,0.47079261453924787,0.13863478000210674,0.39831287784326674
OpenAlex,landmark,resnet,resnet,Deep residual networks,1,Computer Science,Machines,2015,600,0.5,0.4898558916700027,0.52497918747894,0.3457717693915951,0.46515171213513445
OpenAlex,landmark,diffusion,diffusion,Diffusion generative models,1,Computer Science,Machines,2020,600,0.6313025210084034,0.4904128426431733,0.5486550694287993,0.1315989838630606,0.4504923542358592
OpenAlex,landmark,rag,rag,Retrieval-augmented generation,1,Computer Science,Machines,2020,600,0.5,0.47002519923379865,0.48750260351578967,0.09639971277679142,0.38848187888159497
OpenAlex,landmark,qec,qec,Quantum error correction,1,Physical Sciences,Nature,1995,335,0.9911504424778761,0.31301994970333713,0.7727457413264516,0.968105341718638,0.7612553688065757
OpenAlex,landmark,crispr_c1,crispr,Zinc-finger nuclease engineering,0,Life Sciences,Life,2012,600,0.5194468452895419,0.47009753671110693,0.5382136229331155,0.8068255945516155,0.583645899871345
OpenAlex,landmark,crispr_c2,crispr,Meganuclease genome engineering,0,Life Sciences,Life,2012,596,0.8166894664842681,0.48133712769796694,0.7923672641524694,0.8243582118071466,0.7286880175354628
OpenAlex,landmark,ips_c1,ips,Adult stem-cell transdifferentiation,0,Life Sciences,Life,2006,600,0.5058922558922558,0.5168893541157575,0.643623524846282,0.8772714915613943,0.6359191566039224
OpenAlex,landmark,ips_c2,ips,Somatic cell nuclear transfer,0,Life Sciences,Life,2006,600,0.5063184498736311,0.5410271119771647,0.5336031171209707,0.8040623914048921,0.5962527675941647
OpenAlex,landmark,mrna_c1,mrna,DNA vaccine platforms,0,Life Sciences,Life,2020,600,0.5,0.4992258796476643,0.5124973964842103,0.4069913819036223,0.4796786645088742
OpenAlex,landmark,mrna_c2,mrna,Viral-vector vaccine platforms,0,Life Sciences,Life,2020,600,0.5,0.4937750950189459,0.33181222783183384,0.4303558483067051,0.4389857927893712
OpenAlex,landmark,alphafold2_c1,alphafold2,Protein threading methods,0,Life Sciences,Life,2021,600,0.5,0.5053561072350494,0.4133824210826699,0.1931109928545002,0.4029623802930549
OpenAlex,landmark,alphafold2_c2,alphafold2,Homology modelling,0,Life Sciences,Life,2021,600,0.5,0.5024016993169131,0.4916674381858807,0.21651806149302882,0.4276467997489557
OpenAlex,landmark,singlecell_c1,singlecell,Bulk RNA sequencing,0,Life Sciences,Life,2009,600,0.6852907639680731,0.4580990136424001,0.8218288971894048,0.93794325679787,0.725790482899437
OpenAlex,landmark,singlecell_c2,singlecell,Microarray transcriptomics,0,Life Sciences,Life,2009,600,0.5,0.5071256492392285,0.5662743941954392,0.7903637116203407,0.5909409387637521
OpenAlex,landmark,rnai_c1,rnai,Antisense oligonucleotide silencing,0,Life Sciences,Life,1998,600,0.68140589569161,0.4700332046565238,0.7030584600142163,0.9484246864400507,0.7007305617006002
OpenAlex,landmark,rnai_c2,rnai,Ribozyme gene silencing,0,Life Sciences,Life,1998,580,0.9416531604538088,0.41534522206545227,0.6253490709918343,0.8712741214368354,0.7134053937369826
OpenAlex,landmark,graphene_c1,graphene,Carbon nanotube electronics,0,Physical Sciences,Nature,2004,600,0.5097540288379983,0.5409576012287471,0.6387871690606142,0.8505855417135959,0.6350210852102389
OpenAlex,landmark,graphene_c2,graphene,Graphite intercalation compounds,0,Physical Sciences,Nature,2004,600,0.555452865064695,0.5163632570736785,0.6136070778047783,0.9453297273203556,0.6576882318158769
OpenAlex,landmark,transformer_c1,transformer,Recurrent neural sequence models,0,Computer Science,Machines,2017,600,0.5008333333333334,0.5817987821199619,0.5970929191865354,0.29843435403097657,0.4945398471677018
OpenAlex,landmark,transformer_c2,transformer,Convolutional sequence models,0,Computer Science,Machines,2017,600,0.5,0.5142724884952145,0.5580701058739533,0.19788782248440107,0.4425576042133923
OpenAlex,landmark,resnet_c1,resnet,Highway neural networks,0,Computer Science,Machines,2015,600,0.5029288702928869,0.46708213523333897,0.5643751137672948,0.43757965440114516,0.49299144342366646
OpenAlex,landmark,resnet_c2,resnet,Plain very-deep convolutional networks,0,Computer Science,Machines,2015,600,0.6768018018018017,0.4851661325916311,0.4930948446391693,0.40367642750397725,0.5146848016341448
OpenAlex,landmark,diffusion_c1,diffusion,Variational autoencoder generation,0,Computer Science,Machines,2020,600,0.5,0.5331232351874537,0.45842951678320004,0.23291234560970409,0.4311162743950895
OpenAlex,landmark,diffusion_c2,diffusion,Autoregressive image generation,0,Computer Science,Machines,2020,600,0.501669449081803,0.5093098938306004,0.5080809517699633,0.27330609300212294,0.4480915969211224
OpenAlex,landmark,rag_c1,rag,Closed-book language model question answering,0,Computer Science,Machines,2020,600,0.5,0.49995065383871934,0.4501660026875221,0.07409727679294556,0.3810534833297967
OpenAlex,landmark,rag_c2,rag,Information retrieval neural ranking,0,Computer Science,Machines,2020,600,0.5,0.4854887252986987,0.4833395034305885,0.14196784944133517,0.40269901954265563
OpenAlex,landmark,qec_c1,qec,Classical error correcting codes,0,Physical Sciences,Nature,1995,600,0.5,0.49717284191625855,0.5946768101701475,0.680637058951584,0.5681216777594975
OpenAlex,landmark,qec_c2,qec,Quantum decoherence control,0,Physical Sciences,Nature,1995,85,0.9247311827956989,0.39733194369786784,0.40792523245639445,0.8923636510396431,0.655588002497401
PubMed,landmark,crispr,crispr,CRISPR-Cas genome editing,1,Life Sciences,Life,2012,599,0.9966777408637875,0.8992750277612958,0.9480852464633202,0.0,0.7110095037721008
PubMed,landmark,ips,ips,Induced pluripotent stem cells,1,Life Sciences,Life,2006,596,0.9900497512437811,0.39419334466149997,0.6303123538982346,0.0,0.503638862450879
PubMed,landmark,mrna,mrna,mRNA vaccine technology,1,Life Sciences,Life,2020,599,0.5054759898904801,0.4581324777591229,0.630832660734157,0.0,0.39861028209594
PubMed,landmark,alphafold2,alphafold2,AlphaFold2 protein structure prediction,1,Life Sciences,Life,2021,340,0.9855491329479769,0.3961089951418246,0.9033744653517131,0.0,0.5712581483603787
PubMed,landmark,singlecell,singlecell,Single-cell RNA sequencing,1,Life Sciences,Life,2009,600,0.6722595078299776,0.4743285811325534,0.4977169108448251,0.0,0.41107624995183906
PubMed,landmark,rnai,rnai,RNA interference,1,Life Sciences,Life,1998,598,0.9966722129783694,0.8990360050123267,0.8947747036125839,0.0,0.69762073040082
PubMed,landmark,crispr_c1,crispr,Zinc-finger nuclease engineering,0,Life Sciences,Life,2012,532,0.8212634822804314,0.47488830328335807,0.8215624974834977,0.0,0.5294285707618218
PubMed,landmark,crispr_c2,crispr,Meganuclease genome engineering,0,Life Sciences,Life,2012,106,0.7985074626865671,0.483479406763837,0.8667217178634091,0.0,0.5371771468284533
PubMed,landmark,ips_c1,ips,Adult stem-cell transdifferentiation,0,Life Sciences,Life,2006,593,0.75,0.4853595998314026,0.40594518443472344,0.0,0.41032619606653153
PubMed,landmark,ips_c2,ips,Somatic cell nuclear transfer,0,Life Sciences,Life,2006,600,0.8056300268096515,0.47684556811085094,0.20906748465844982,0.0,0.3728857698947381
PubMed,landmark,mrna_c1,mrna,DNA vaccine platforms,0,Life Sciences,Life,2020,600,0.6082995951417004,0.47554155969163336,0.5734922755850319,0.0,0.41433335760459145
PubMed,landmark,mrna_c2,mrna,Viral-vector vaccine platforms,0,Life Sciences,Life,2020,599,0.545950864422202,0.4849459064908941,0.5410236229719326,0.0,0.39298009847125714
PubMed,landmark,alphafold2_c1,alphafold2,Protein threading methods,0,Life Sciences,Life,2021,84,0.275974025974026,0.5274507838931195,0.7557177478752324,0.0,0.38978563943559447
PubMed,landmark,alphafold2_c2,alphafold2,Homology modelling,0,Life Sciences,Life,2021,600,0.5136752136752137,0.49825351877601876,0.5996460684099042,0.0,0.40289370021528415
PubMed,landmark,singlecell_c1,singlecell,Bulk RNA sequencing,0,Life Sciences,Life,2009,340,0.8743589743589744,0.45441982508731227,0.7203258354514274,0.0,0.5122761587244286
PubMed,landmark,singlecell_c2,singlecell,Microarray transcriptomics,0,Life Sciences,Life,2009,600,0.9303405572755418,0.44535337510061035,0.598687660112452,0.0,0.49359539812215103
PubMed,landmark,rnai_c1,rnai,Antisense oligonucleotide silencing,0,Life Sciences,Life,1998,451,0.9912280701754386,0.4161964394944275,0.009073572661269125,0.0,0.3541245205827838
